Test,Frequency,Fixtures
Hose_All_Freq_avg_contact_4a1,f25,22.93819013
Hose_All_Freq_avg_contact_4a1,f31_5,30.50885125
Hose_All_Freq_avg_contact_4a1,f40,36.9596908
Hose_All_Freq_avg_contact_4a1,f50,39.80648698
Hose_All_Freq_avg_contact_4a1,f63,46.48927142
Hose_All_Freq_avg_contact_4a1,f80,50.83598605
Hose_All_Freq_avg_contact_4a1,f100,50.89436933
Hose_All_Freq_avg_contact_4a1,f125,62.18830189
Hose_All_Freq_avg_contact_4a1,f160,65.68253247
Hose_All_Freq_avg_contact_4a1,f200,59.02259438
Hose_All_Freq_avg_contact_4a1,f250,61.11283329
Hose_All_Freq_avg_contact_4a1,f315,62.70077771
Hose_All_Freq_avg_contact_4a1,f400,67.62372869
Hose_All_Freq_avg_contact_4a1,f500,67.96592718
Hose_All_Freq_avg_contact_4a1,f630,64.51276378
Hose_All_Freq_avg_contact_4a1,f800,62.94499298
Hose_All_Freq_avg_contact_4a1,f1000,56.39879
Hose_All_Freq_avg_contact_4a1,f1250,51.78153944
Hose_All_Freq_avg_contact_4a1,f1600,50.36176822
Hose_All_Freq_avg_contact_4a1,f2000,50.15041544
Hose_All_Freq_avg_contact_4a1,f2500,48.37819751
Hose_All_Freq_avg_contact_4a1,f3100,46.25107747
Hose_All_Freq_avg_contact_4a1,f4000,42.28331435
Hose_All_Freq_avg_contact_4a1,f5000,36.97314709
Hose_All_Freq_avg_contact_4a1,f6300,32.46538571
Hose_All_Freq_avg_contact_4a1,f8000,27.95712602
Hose_All_Freq_avg_contact_4a1,f10000,26.84656282
Hose_All_Freq_avg_ambient_4a1,f25,10.04711972
Hose_All_Freq_avg_ambient_4a1,f31_5,12.45147236
Hose_All_Freq_avg_ambient_4a1,f40,12.33797975
Hose_All_Freq_avg_ambient_4a1,f50,14.00398026
Hose_All_Freq_avg_ambient_4a1,f63,19.89537184
Hose_All_Freq_avg_ambient_4a1,f80,22.84844216
Hose_All_Freq_avg_ambient_4a1,f100,21.91695689
Hose_All_Freq_avg_ambient_4a1,f125,24.28972805
Hose_All_Freq_avg_ambient_4a1,f160,25.60573724
Hose_All_Freq_avg_ambient_4a1,f200,25.40794349
Hose_All_Freq_avg_ambient_4a1,f250,25.12255084
Hose_All_Freq_avg_ambient_4a1,f315,26.34302896
Hose_All_Freq_avg_ambient_4a1,f400,33.43980249
Hose_All_Freq_avg_ambient_4a1,f500,37.27348498
Hose_All_Freq_avg_ambient_4a1,f630,28.13096767
