Test,Frequency,Fixtures
Lav_Faucet Closest_Contact_Tst_1a,f25,10.14171426
Lav_Faucet Closest_Contact_Tst_1a,f31_5,9.231781938
Lav_Faucet Closest_Contact_Tst_1a,f40,11.26626867
Lav_Faucet Closest_Contact_Tst_1a,f50,14.19803443
Lav_Faucet Closest_Contact_Tst_1a,f63,16.61708748
Lav_Faucet Closest_Contact_Tst_1a,f80,23.52657657
Lav_Faucet Closest_Contact_Tst_1a,f100,30.15400576
Lav_Faucet Closest_Contact_Tst_1a,f125,36.092181
Lav_Faucet Closest_Contact_Tst_1a,f160,40.62160052
Lav_Faucet Closest_Contact_Tst_1a,f200,40.31080738
Lav_Faucet Closest_Contact_Tst_1a,f250,44.96820271
Lav_Faucet Closest_Contact_Tst_1a,f315,39.88055305
Lav_Faucet Closest_Contact_Tst_1a,f400,38.22427262
Lav_Faucet Closest_Contact_Tst_1a,f500,36.04406433
Lav_Faucet Closest_Contact_Tst_1a,f630,39.40301371
Lav_Faucet Closest_Contact_Tst_1a,f800,27.37760752
Lav_Faucet Closest_Contact_Tst_1a,f1000,17.05846061
Lav_Faucet Closest_Contact_Tst_1a,f1250,14.84770668
Lav_Faucet Closest_Contact_Tst_1a,f1600,9.174431665
Lav_Faucet Closest_Contact_Tst_1a,f2000,7.16417455
Lav_Faucet Closest_Contact_Tst_1a,f2500,6.765501933
Lav_Faucet Closest_Contact_Tst_1a,f3100,4.697314913
Lav_Faucet Closest_Contact_Tst_1a,f4000,3.842095496
Lav_Faucet Closest_Contact_Tst_1a,f5000,3.357582903
Lav_Faucet Closest_Contact_Tst_1a,f6300,3.003503211
Lav_Faucet Closest_Contact_Tst_1a,f8000,3.151287586
Lav_Faucet Closest_Contact_Tst_1a,f10000,4.967712533
Lav_Faucet Closest_Ambient_Tst_1a,f25,14.29503469
Lav_Faucet Closest_Ambient_Tst_1a,f31_5,11.77763625
Lav_Faucet Closest_Ambient_Tst_1a,f40,10.90070838
Lav_Faucet Closest_Ambient_Tst_1a,f50,13.22701462
Lav_Faucet Closest_Ambient_Tst_1a,f63,14.61642698
Lav_Faucet Closest_Ambient_Tst_1a,f80,10.60840627
Lav_Faucet Closest_Ambient_Tst_1a,f100,10.14529141
Lav_Faucet Closest_Ambient_Tst_1a,f125,11.07852985
Lav_Faucet Closest_Ambient_Tst_1a,f160,8.163914605
Lav_Faucet Closest_Ambient_Tst_1a,f200,10.53210322
Lav_Faucet Closest_Ambient_Tst_1a,f250,13.6114321
Lav_Faucet Closest_Ambient_Tst_1a,f315,10.31933212
Lav_Faucet Closest_Ambient_Tst_1a,f400,7.528694179
Lav_Faucet Closest_Ambient_Tst_1a,f500,7.347215525
Lav_Faucet Closest_Ambient_Tst_1a,f630,9.825508819
Lav_Faucet Closest_Ambient_Tst_1a,f800,5.656686678
Lav_Faucet Closest_Ambient_Tst_1a,f1000,4.840012711
Lav_Faucet Closest_Ambient_Tst_1a,f1250,3.59166719
Lav_Faucet Closest_Ambient_Tst_1a,f1600,2.784912202
Lav_Faucet Closest_Ambient_Tst_1a,f2000,2.751583864
Lav_Faucet Closest_Ambient_Tst_1a,f2500,4.707768657
